country,year,life_exp,ppp_cap,name,brk_a3
Belarus,1949,66.1,3160,Belarus,BLR
Belarus,1950,68.2,3460,Belarus,BLR
Belarus,1951,68.3,3450,Belarus,BLR
Belarus,1952,68.5,3650,Belarus,BLR
Belarus,1953,68.8,3780,Belarus,BLR
Belarus,1954,69.1,3940,Belarus,BLR
Belarus,1955,69.3,4240,Belarus,BLR
Belarus,1956,69.7,4610,Belarus,BLR
Belarus,1957,70,4670,Belarus,BLR
Belarus,1958,70.1,4980,Belarus,BLR
Belarus,1959,69.7,4880,Belarus,BLR
Belarus,1960,71,5300,Belarus,BLR
Belarus,1961,71.5,5490,Belarus,BLR
Belarus,1962,71.2,5530,Belarus,BLR
Belarus,1963,71.8,5300,Belarus,BLR
Belarus,1964,72.8,5920,Belarus,BLR
Belarus,1965,72.6,6200,Belarus,BLR
Belarus,1966,72.8,6450,Belarus,BLR
Belarus,1967,72.6,6680,Belarus,BLR
Belarus,1968,72.7,7020,Belarus,BLR
Belarus,1969,72.5,7070,Belarus,BLR
Belarus,1970,72.1,7550,Belarus,BLR
Belarus,1971,72.4,7690,Belarus,BLR
Belarus,1972,72.2,7670,Belarus,BLR
Belarus,1973,72.3,8240,Belarus,BLR
Belarus,1974,72.5,8290,Belarus,BLR
Belarus,1975,71.9,8330,Belarus,BLR
Belarus,1976,71.7,8380,Belarus,BLR
Belarus,1977,71.6,8420,Belarus,BLR
Belarus,1978,71.5,8460,Belarus,BLR
Belarus,1979,71.2,8500,Belarus,BLR
Belarus,1980,71,8540,Belarus,BLR
Belarus,1981,71.3,8740,Belarus,BLR
Belarus,1982,71.4,8950,Belarus,BLR
Belarus,1983,71.2,9210,Belarus,BLR
Belarus,1984,70.5,9320,Belarus,BLR
Belarus,1985,71.1,9220,Belarus,BLR
Belarus,1986,72.3,9270,Belarus,BLR
Belarus,1987,72.2,9190,Belarus,BLR
Belarus,1988,72.2,8970,Belarus,BLR
Belarus,1989,71.6,9370,Belarus,BLR
Belarus,1990,71.3,8900,Belarus,BLR
Belarus,1991,70.8,8780,Belarus,BLR
Belarus,1992,70.3,7920,Belarus,BLR
Belarus,1993,69.3,7310,Belarus,BLR
Belarus,1994,69.1,6460,Belarus,BLR
Belarus,1995,68.7,5810,Belarus,BLR
Belarus,1996,68.9,5990,Belarus,BLR
Belarus,1997,68.7,6700,Belarus,BLR
Belarus,1998,68.4,7300,Belarus,BLR
Belarus,1999,68.2,7580,Belarus,BLR
Belarus,2000,69,8050,Belarus,BLR
Belarus,2001,68.6,8480,Belarus,BLR
Belarus,2002,68,8960,Belarus,BLR
Belarus,2003,68.6,9660,Belarus,BLR
Belarus,2004,69,10800,Belarus,BLR
Belarus,2005,68.8,11900,Belarus,BLR
Belarus,2006,69.5,13200,Belarus,BLR
Belarus,2007,70.4,14400,Belarus,BLR
Belarus,2008,70.5,15900,Belarus,BLR
Belarus,2009,70.6,16000,Belarus,BLR
Belarus,2010,70.6,17300,Belarus,BLR
Belarus,2011,70.5,18300,Belarus,BLR
Belarus,2012,72.3,18600,Belarus,BLR
Belarus,2013,72.8,18800,Belarus,BLR
Belarus,2014,73.1,19100,Belarus,BLR
Belarus,2015,73.7,18300,Belarus,BLR
Belarus,2016,73.8,17800,Belarus,BLR
Belarus,2017,73.8,18300,Belarus,BLR
Belarus,2018,74,18900,Belarus,BLR
Belarus,2019,74,19100,Belarus,BLR
Belarus,2020,73.5,19100,Belarus,BLR
Belarus,2021,74.3,19100,Belarus,BLR
Germany,1949,64.9,6020,Germany,DEU
Germany,1950,66.5,7120,Germany,DEU
Germany,1951,66.9,7710,Germany,DEU
Germany,1952,67.3,8350,Germany,DEU
Germany,1953,67.7,8990,Germany,DEU
Germany,1954,68.1,9620,Germany,DEU
Germany,1955,68.5,10600,Germany,DEU
Germany,1956,68.9,11300,Germany,DEU
Germany,1957,68.9,11900,Germany,DEU
Germany,1958,69.3,12400,Germany,DEU
Germany,1959,69.3,13200,Germany,DEU
Germany,1960,69.4,14100,Germany,DEU
Germany,1961,69.8,14700,Germany,DEU
Germany,1962,70,15300,Germany,DEU
Germany,1963,70.2,15800,Germany,DEU
Germany,1964,70.5,16700,Germany,DEU
Germany,1965,70.7,17600,Germany,DEU
Germany,1966,70.8,18100,Germany,DEU
Germany,1967,70.8,18300,Germany,DEU
Germany,1968,70.5,19300,Germany,DEU
Germany,1969,70.4,20600,Germany,DEU
Germany,1970,70.6,21600,Germany,DEU
Germany,1971,70.8,22200,Germany,DEU
Germany,1972,71,23200,Germany,DEU
Germany,1973,71.3,24400,Germany,DEU
Germany,1974,71.6,24800,Germany,DEU
Germany,1975,71.7,24900,Germany,DEU
Germany,1976,72.1,26500,Germany,DEU
Germany,1977,72.5,27500,Germany,DEU
Germany,1978,72.7,28500,Germany,DEU
Germany,1979,73,29900,Germany,DEU
Germany,1980,73.3,30300,Germany,DEU
Germany,1981,73.5,30600,Germany,DEU
Germany,1982,73.8,30600,Germany,DEU
Germany,1983,74.1,31500,Germany,DEU
Germany,1984,74.6,32700.000000000004,Germany,DEU
Germany,1985,74.8,33700,Germany,DEU
Germany,1986,75.1,34700,Germany,DEU
Germany,1987,75.3,35500,Germany,DEU
Germany,1988,75.5,36800,Germany,DEU
Germany,1989,75.7,38000,Germany,DEU
Germany,1990,75.7,36800,Germany,DEU
Germany,1991,75.8,38400,Germany,DEU
Germany,1992,76.2,38800,Germany,DEU
Germany,1993,76.3,38200,Germany,DEU
Germany,1994,76.6,38900,Germany,DEU
Germany,1995,76.9,39400,Germany,DEU
Germany,1996,77.1,39600,Germany,DEU
Germany,1997,77.5,40300,Germany,DEU
Germany,1998,77.8,41100,Germany,DEU
Germany,1999,78.1,41800,Germany,DEU
Germany,2000,78.4,43000,Germany,DEU
Germany,2001,78.7,43700,Germany,DEU
Germany,2002,78.8,43500,Germany,DEU
Germany,2003,78.9,43200,Germany,DEU
Germany,2004,79.3,43700,Germany,DEU
Germany,2005,79.6,44000,Germany,DEU
Germany,2006,79.9,45800,Germany,DEU
Germany,2007,80,47200,Germany,DEU
Germany,2008,80.2,47700,Germany,DEU
Germany,2009,80.3,45100,Germany,DEU
Germany,2010,80.5,47100,Germany,DEU
Germany,2011,80.7,49800,Germany,DEU
Germany,2012,80.8,50000,Germany,DEU
Germany,2013,80.8,50000,Germany,DEU
Germany,2014,81,50900,Germany,DEU
Germany,2015,80.9,51200,Germany,DEU
Germany,2016,81,52000,Germany,DEU
Germany,2017,81.1,53100,Germany,DEU
Germany,2018,81.2,53600,Germany,DEU
Germany,2019,81.2,53800,Germany,DEU
Germany,2020,81,51100,Germany,DEU
Germany,2021,81.5,52900,Germany,DEU
Spain,1949,61,3950,Spain,ESP
Spain,1950,61.8,3980,Spain,ESP
Spain,1951,62.2,4360,Spain,ESP
Spain,1952,64.5,4720,Spain,ESP
Spain,1953,65.7,4680,Spain,ESP
Spain,1954,66.7,4980,Spain,ESP
Spain,1955,66.7,5110,Spain,ESP
Spain,1956,66.9,5490,Spain,ESP
Spain,1957,67,5640,Spain,ESP
Spain,1958,68.5,5950,Spain,ESP
Spain,1959,68.8,5850,Spain,ESP
Spain,1960,69.5,5790,Spain,ESP
Spain,1961,69.7,6480,Spain,ESP
Spain,1962,69.8,7110,Spain,ESP
Spain,1963,70,7830,Spain,ESP
Spain,1964,70.5,8250,Spain,ESP
Spain,1965,70.9,8890,Spain,ESP
Spain,1966,71.2,9520,Spain,ESP
Spain,1967,71.4,10000,Spain,ESP
Spain,1968,71.6,10600,Spain,ESP
Spain,1969,71.5,11500,Spain,ESP
Spain,1970,72,11900,Spain,ESP
Spain,1971,72.1,12400,Spain,ESP
Spain,1972,72.8,13700,Spain,ESP
Spain,1973,72.9,14800,Spain,ESP
Spain,1974,73.3,15900,Spain,ESP
Spain,1975,73.6,16300,Spain,ESP
Spain,1976,74,17000,Spain,ESP
Spain,1977,74.3,17500,Spain,ESP
Spain,1978,74.6,18000,Spain,ESP
Spain,1979,75,18200,Spain,ESP
Spain,1980,75.5,18800,Spain,ESP
Spain,1981,75.8,18800,Spain,ESP
Spain,1982,76.2,19100,Spain,ESP
Spain,1983,76.2,19500,Spain,ESP
Spain,1984,76.4,19800,Spain,ESP
Spain,1985,76.5,20400,Spain,ESP
Spain,1986,76.6,21300,Spain,ESP
Spain,1987,76.8,22900,Spain,ESP
Spain,1988,76.9,24500,Spain,ESP
Spain,1989,76.9,26200,Spain,ESP
Spain,1990,77,27600,Spain,ESP
Spain,1991,77.1,28300,Spain,ESP
Spain,1992,77.5,28400,Spain,ESP
Spain,1993,77.7,27900,Spain,ESP
Spain,1994,78,28500,Spain,ESP
Spain,1995,78.1,29100,Spain,ESP
Spain,1996,78.3,29800,Spain,ESP
Spain,1997,78.8,30800,Spain,ESP
Spain,1998,79,32000,Spain,ESP
Spain,1999,79.1,33300,Spain,ESP
Spain,2000,79.5,34900,Spain,ESP
Spain,2001,79.8,36000,Spain,ESP
Spain,2002,79.9,36500,Spain,ESP
Spain,2003,80,36900,Spain,ESP
Spain,2004,80.3,37400,Spain,ESP
Spain,2005,80.6,38100,Spain,ESP
Spain,2006,81,39000,Spain,ESP
Spain,2007,81.2,39600,Spain,ESP
Spain,2008,81.4,39400,Spain,ESP
